Laporan Laba Rugi - SafinaLab.id
Periode: Agustus 2026

Bulan,Revenue,COGS,Gross Profit,Gaji & Tunjangan,Sewa Gedung,Listrik & Air,Internet & Cloud,Marketing Digital,Transportasi,Maintenance Alat,Perlengkapan,Asuransi,Total Opex,Net Profit
Agu 2026,282400000,98840000,183560000,48000000,15000000,5000000,3500000,14200000,4550000,3400000,1450000,2500000,97600000,84160000

Kategori,Jumlah (IDR)
Pendapatan / Revenue,282400000
  - Tes Darah Lengkap (CBC),112960000
  - Panel Metabolik,62128000
  - Tes Hormon & Tiroid,56480000
  - Tes Alergi & Imunologi,28240000
  - Layanan Home Visit,22592000

Harga Pokok Penjualan (COGS),98840000
  - Reagent & Bahan Lab,58400000
  - Kit Pengujian,23500000
  - Consumables (tabung, jarum, dll),16940000

Laba Kotor / Gross Profit,183560000

Beban Operasional (Opex):
  Gaji & Tunjangan Staff,48000000
  Sewa Gedung Lab,15000000
  Listrik & Air,5000000
  Internet & Cloud Server,3500000
  Marketing Digital,14200000
  Transportasi Home Visit,4550000
  Maintenance Alat Lab,3400000
  Perlengkapan Kantor (ATK),1450000
  Asuransi,2500000
Total Beban Operasional,97600000

Laba Operasional / Operating Profit,85960000

Bunga Bank,750000
Pajak,1050000

Laba Bersih / Net Profit,84160000

Jumlah Transaksi: 2140
Catatan: Revenue -1.7% dari proyeksi karena libur kemerdekaan. Marketing digital dinaikkan untuk persiapan kampanye Q3. Efisiensi listrik membaik.
