Laporan Laba Rugi - SafinaLab.id
Periode: Juli 2026

Bulan,Revenue,COGS,Gross Profit,Gaji & Tunjangan,Sewa Gedung,Listrik & Air,Internet & Cloud,Marketing Digital,Transportasi,Maintenance Alat,Perlengkapan,Asuransi,Total Opex,Net Profit
Jul 2026,278500000,97475000,181025000,48000000,15000000,5150000,3500000,13200000,4600000,3300000,1500000,2500000,96750000,82525000

Kategori,Jumlah (IDR)
Pendapatan / Revenue,278500000
  - Tes Darah Lengkap (CBC),111400000
  - Panel Metabolik,61270000
  - Tes Hormon & Tiroid,55700000
  - Tes Alergi & Imunologi,27850000
  - Layanan Home Visit,22280000

Harga Pokok Penjualan (COGS),97475000
  - Reagent & Bahan Lab,57600000
  - Kit Pengujian,23200000
  - Consumables (tabung, jarum, dll),16675000

Laba Kotor / Gross Profit,181025000

Beban Operasional (Opex):
  Gaji & Tunjangan Staff,48000000
  Sewa Gedung Lab,15000000
  Listrik & Air,5150000
  Internet & Cloud Server,3500000
  Marketing Digital,13200000
  Transportasi Home Visit,4600000
  Maintenance Alat Lab,3300000
  Perlengkapan Kantor (ATK),1500000
  Asuransi,2500000
Total Beban Operasional,96750000

Laba Operasional / Operating Profit,84275000

Bunga Bank,750000
Pajak,1000000

Laba Bersih / Net Profit,82525000

Jumlah Transaksi: 2100
Catatan: Revenue +1.8% di atas proyeksi. 2 staff baru bergabung, gaji naik sesuai rencana. Maintenance lebih rendah karena alat baru dari investasi Q2.
