Laporan Laba Rugi - SafinaLab.id
Periode: Mei 2026

Bulan,Revenue,COGS,Gross Profit,Gaji & Tunjangan,Sewa Gedung,Listrik & Air,Internet & Cloud,Marketing Digital,Transportasi,Maintenance Alat,Perlengkapan,Asuransi,Total Opex,Net Profit
Mei 2026,253200000,88620000,164580000,45000000,15000000,4750000,3200000,12800000,4250000,3600000,1450000,2500000,92550000,70230000

Kategori,Jumlah (IDR)
Pendapatan / Revenue,253200000
  - Tes Darah Lengkap (CBC),101280000
  - Panel Metabolik,55704000
  - Tes Hormon & Tiroid,50640000
  - Tes Alergi & Imunologi,25320000
  - Layanan Home Visit,20256000

Harga Pokok Penjualan (COGS),88620000
  - Reagent & Bahan Lab,52400000
  - Kit Pengujian,21100000
  - Consumables (tabung, jarum, dll),15120000

Laba Kotor / Gross Profit,164580000

Beban Operasional (Opex):
  Gaji & Tunjangan Staff,45000000
  Sewa Gedung Lab,15000000
  Listrik & Air,4750000
  Internet & Cloud Server,3200000
  Marketing Digital,12800000
  Transportasi Home Visit,4250000
  Maintenance Alat Lab,3600000
  Perlengkapan Kantor (ATK),1450000
  Asuransi,2500000
Total Beban Operasional,92550000

Laba Operasional / Operating Profit,72030000

Bunga Bank,750000
Pajak,1050000

Laba Bersih / Net Profit,70230000

Jumlah Transaksi: 1950
Catatan: Revenue +2% di atas proyeksi. Post-Lebaran recovery lebih cepat dari estimasi. Marketing spend sedikit naik untuk kampanye medical checkup korporat.
