Proyeksi Keuangan 1 Tahun - SafinaLab.id
Periode: April 2026 - Maret 2027

Asumsi:
- Pertumbuhan revenue rata-rata 5% per bulan (konservatif)
- COGS ratio dijaga di 35% dari revenue
- Penambahan 2 staff baru di Q3 2026
- Ekspansi layanan home visit ke 3 area baru
- Investasi alat lab baru di Q2 2026

Bulan,Projected Revenue,Projected COGS,Projected Gross Profit,Gaji & Tunjangan,Sewa Gedung,Listrik & Air,Internet & Cloud,Marketing Digital,Transportasi,Maintenance Alat,Perlengkapan,Asuransi,Total Opex,Projected Net Profit
Apr 2026,236250000,82687500,153562500,45000000,15000000,4700000,3200000,12000000,4200000,3500000,1400000,2500000,91500000,60312500
Mei 2026,248062500,86821875,161240625,45000000,15000000,4800000,3200000,12500000,4300000,3500000,1400000,2500000,92200000,67290625
Jun 2026,260465625,91162969,169302656,45000000,15000000,4900000,3200000,13000000,4400000,4000000,1500000,2500000,93500000,74052656
Jul 2026,273488906,95721117,177767789,48000000,15000000,5000000,3500000,13500000,4500000,3500000,1500000,2500000,97000000,79017789
Agu 2026,287163351,100507173,186656178,48000000,15000000,5100000,3500000,14000000,4600000,3500000,1500000,2500000,97700000,87206178
Sep 2026,301521519,105532532,195988987,48000000,15000000,5200000,3500000,14500000,4700000,5000000,1600000,2500000,100000000,94238987
Okt 2026,316597595,110809158,205788437,50000000,15000000,5300000,3500000,15000000,4800000,3500000,1600000,2500000,101200000,102838437
Nov 2026,332427475,116349616,216077859,50000000,15000000,5400000,3500000,15000000,4900000,3500000,1600000,2500000,101400000,112927859
Des 2026,315806101,110532135,205273966,50000000,15000000,5500000,3500000,10000000,5000000,3500000,1500000,2500000,96500000,95273966
Jan 2027,348888849,122111097,226777752,52000000,16500000,5500000,3800000,16000000,5200000,4000000,1700000,2800000,107500000,117527752
Feb 2027,366333291,128216652,238116639,52000000,16500000,5600000,3800000,16500000,5300000,4000000,1700000,2800000,108200000,128166639
Mar 2027,384649956,134627484,250022472,52000000,16500000,5700000,3800000,17000000,5500000,6500000,1800000,2800000,111600000,136672472

Total Tahunan,3671255168,1285239308,2386015860,585000000,189000000,61700000,41700000,169000000,57400000,48000000,18800000,30600000,1188200000,1155465860

Ringkasan Proyeksi:
- Total Revenue Tahunan: Rp 3.671.255.168
- Total Net Profit Tahunan: Rp 1.155.465.860
- Rata-rata Net Margin: 31.5%
- Break-even tercapai sejak bulan pertama operasional
- Pertumbuhan YoY diproyeksikan 45-55%

Asumsi Detail:
- Revenue Desember dipotong 5% karena faktor musiman (libur akhir tahun)
- Kenaikan gaji di Q4 2026 dan Q1 2027 karena penambahan staff
- Sewa gedung naik di Jan 2027 karena ekspansi area lab
- Marketing meningkat bertahap untuk mendukung ekspansi area home visit
- Maintenance alat lab naik di Mar 2027 karena kalibrasi tahunan
